_time,_measurement,_field,_value
2023-07-06 13:03:36.430982+02:00,PC,GPU_temp,70.0
2023-07-06 13:03:46.463257+02:00,PC,GPU_temp,69.0
2023-07-06 13:03:57.559707+02:00,PC,GPU_temp,69.0
2023-07-06 13:04:07.628994+02:00,PC,GPU_temp,69.0
2023-07-06 13:04:18.892979+02:00,PC,GPU_temp,69.0
2023-07-06 13:04:28.937803+02:00,PC,GPU_temp,69.0
2023-07-06 13:04:40.081780+02:00,PC,GPU_temp,69.0
2023-07-06 13:04:50.529952+02:00,PC,GPU_temp,69.0
2023-07-06 13:05:00.842050+02:00,PC,GPU_temp,68.0
2023-07-06 13:05:10.926160+02:00,PC,GPU_temp,68.0
2023-07-06 13:05:22.051687+02:00,PC,GPU_temp,68.0
2023-07-06 13:05:32.085929+02:00,PC,GPU_temp,68.0
2023-07-06 13:05:43.175444+02:00,PC,GPU_temp,69.0
2023-07-06 13:05:53.270282+02:00,PC,GPU_temp,69.0
2023-07-06 13:06:04.345709+02:00,PC,GPU_temp,70.0
2023-07-06 13:06:14.385741+02:00,PC,GPU_temp,69.0
2023-07-06 13:06:25.510522+02:00,PC,GPU_temp,70.0
2023-07-06 13:06:35.587960+02:00,PC,GPU_temp,69.0
2023-07-06 13:06:46.712861+02:00,PC,GPU_temp,70.0
2023-07-06 13:06:56.786303+02:00,PC,GPU_temp,69.0
2023-07-06 13:07:07.896724+02:00,PC,GPU_temp,70.0
2023-07-06 13:07:17.917220+02:00,PC,GPU_temp,69.0
2023-07-06 13:07:29.076176+02:00,PC,GPU_temp,70.0
2023-07-06 13:07:39.430326+02:00,PC,GPU_temp,69.0
2023-07-06 13:07:49.505100+02:00,PC,GPU_temp,68.0
2023-07-06 13:08:00.617157+02:00,PC,GPU_temp,69.0
2023-07-06 13:08:10.688818+02:00,PC,GPU_temp,68.0
2023-07-06 13:08:21.813811+02:00,PC,GPU_temp,69.0
2023-07-06 13:08:31.846448+02:00,PC,GPU_temp,69.0
2023-07-06 13:08:43.008979+02:00,PC,GPU_temp,69.0
2023-07-06 13:08:53.037180+02:00,PC,GPU_temp,69.0
2023-07-06 13:09:04.132798+02:00,PC,GPU_temp,69.0
2023-07-06 13:09:14.163629+02:00,PC,GPU_temp,69.0
2023-07-06 13:09:25.286100+02:00,PC,GPU_temp,69.0
2023-07-06 13:09:35.367990+02:00,PC,GPU_temp,69.0
2023-07-06 13:09:46.463185+02:00,PC,GPU_temp,69.0
2023-07-06 13:09:56.513895+02:00,PC,GPU_temp,68.0
2023-07-06 13:10:07.644579+02:00,PC,GPU_temp,69.0
2023-07-06 13:10:17.682700+02:00,PC,GPU_temp,69.0
2023-07-06 13:10:28.790090+02:00,PC,GPU_temp,70.0
2023-07-06 13:10:38.864048+02:00,PC,GPU_temp,69.0
2023-07-06 13:10:49.971044+02:00,PC,GPU_temp,69.0
2023-07-06 13:11:00.044948+02:00,PC,GPU_temp,69.0
2023-07-06 13:11:11.210531+02:00,PC,GPU_temp,69.0
2023-07-06 13:11:21.223347+02:00,PC,GPU_temp,69.0
2023-07-06 13:11:32.378198+02:00,PC,GPU_temp,69.0
2023-07-06 13:11:42.462207+02:00,PC,GPU_temp,69.0
2023-07-06 13:11:53.563298+02:00,PC,GPU_temp,69.0
2023-07-06 13:12:03.642979+02:00,PC,GPU_temp,69.0
2023-07-06 13:12:14.742841+02:00,PC,GPU_temp,69.0
2023-07-06 13:12:24.783607+02:00,PC,GPU_temp,69.0
2023-07-06 13:12:35.869524+02:00,PC,GPU_temp,69.0
2023-07-06 13:12:45.960472+02:00,PC,GPU_temp,69.0
2023-07-06 13:12:57.063499+02:00,PC,GPU_temp,70.0
2023-07-06 13:13:07.129201+02:00,PC,GPU_temp,69.0
2023-07-06 13:13:18.269914+02:00,PC,GPU_temp,69.0
2023-07-06 13:13:28.324345+02:00,PC,GPU_temp,69.0
2023-07-06 13:13:39.467830+02:00,PC,GPU_temp,69.0
2023-07-06 13:13:49.520620+02:00,PC,GPU_temp,69.0
2023-07-06 13:14:00.644115+02:00,PC,GPU_temp,70.0
2023-07-06 13:14:11.007492+02:00,PC,GPU_temp,69.0
2023-07-06 13:14:21.109948+02:00,PC,GPU_temp,69.0
2023-07-06 13:14:32.205437+02:00,PC,GPU_temp,69.0
2023-07-06 13:14:42.278559+02:00,PC,GPU_temp,69.0
2023-07-06 13:14:53.426240+02:00,PC,GPU_temp,69.0
2023-07-06 13:15:03.478045+02:00,PC,GPU_temp,68.0
2023-07-06 13:15:14.584829+02:00,PC,GPU_temp,69.0
2023-07-06 13:15:24.629783+02:00,PC,GPU_temp,69.0
2023-07-06 13:15:35.733364+02:00,PC,GPU_temp,70.0
2023-07-06 13:15:45.849792+02:00,PC,GPU_temp,69.0
2023-07-06 13:15:56.977929+02:00,PC,GPU_temp,70.0
2023-07-06 13:16:07.041852+02:00,PC,GPU_temp,69.0
2023-07-06 13:16:18.154469+02:00,PC,GPU_temp,69.0
2023-07-06 13:16:28.193505+02:00,PC,GPU_temp,69.0
2023-07-06 13:16:39.334839+02:00,PC,GPU_temp,70.0
2023-07-06 13:16:49.456483+02:00,PC,GPU_temp,69.0
2023-07-06 13:17:00.521932+02:00,PC,GPU_temp,70.0
2023-07-06 13:17:10.585687+02:00,PC,GPU_temp,69.0
2023-07-06 13:17:21.697665+02:00,PC,GPU_temp,69.0
2023-07-06 13:17:31.753330+02:00,PC,GPU_temp,69.0
2023-07-06 13:17:42.874952+02:00,PC,GPU_temp,70.0
2023-07-06 13:17:52.914127+02:00,PC,GPU_temp,69.0
2023-07-06 13:18:04.025423+02:00,PC,GPU_temp,69.0
2023-07-06 13:18:14.076309+02:00,PC,GPU_temp,69.0
2023-07-06 13:18:25.165210+02:00,PC,GPU_temp,70.0
2023-07-06 13:18:35.215332+02:00,PC,GPU_temp,69.0
2023-07-06 13:18:46.326651+02:00,PC,GPU_temp,70.0
2023-07-06 13:18:56.410156+02:00,PC,GPU_temp,69.0
2023-07-06 13:19:07.513775+02:00,PC,GPU_temp,69.0
2023-07-06 13:19:17.578664+02:00,PC,GPU_temp,69.0
2023-07-06 13:19:28.693773+02:00,PC,GPU_temp,69.0
2023-07-06 13:19:38.756564+02:00,PC,GPU_temp,69.0
2023-07-06 13:19:49.959837+02:00,PC,GPU_temp,69.0
2023-07-06 13:20:00.003524+02:00,PC,GPU_temp,69.0
2023-07-06 13:20:11.090801+02:00,PC,GPU_temp,69.0
2023-07-06 13:20:21.145350+02:00,PC,GPU_temp,69.0
2023-07-06 13:20:32.310753+02:00,PC,GPU_temp,69.0
2023-07-06 13:20:42.382544+02:00,PC,GPU_temp,68.0
2023-07-06 13:20:53.506659+02:00,PC,GPU_temp,69.0
2023-07-06 13:21:03.551365+02:00,PC,GPU_temp,68.0
2023-07-06 13:21:14.676582+02:00,PC,GPU_temp,69.0
2023-07-06 13:21:24.710979+02:00,PC,GPU_temp,69.0
2023-07-06 13:21:35.837094+02:00,PC,GPU_temp,70.0
2023-07-06 13:21:45.910521+02:00,PC,GPU_temp,69.0
2023-07-06 13:21:56.991445+02:00,PC,GPU_temp,70.0
2023-07-06 13:22:07.021095+02:00,PC,GPU_temp,69.0
2023-07-06 13:22:18.179422+02:00,PC,GPU_temp,69.0
2023-07-06 13:22:28.229582+02:00,PC,GPU_temp,69.0
2023-07-06 13:22:39.332993+02:00,PC,GPU_temp,69.0
2023-07-06 13:22:49.379700+02:00,PC,GPU_temp,69.0
2023-07-06 13:23:00.496454+02:00,PC,GPU_temp,69.0
2023-07-06 13:23:10.564767+02:00,PC,GPU_temp,69.0
2023-07-06 13:23:21.673563+02:00,PC,GPU_temp,69.0
2023-07-06 13:23:31.687129+02:00,PC,GPU_temp,69.0
2023-07-06 13:23:42.809139+02:00,PC,GPU_temp,69.0
2023-07-06 13:23:52.835778+02:00,PC,GPU_temp,69.0
2023-07-06 13:24:03.957653+02:00,PC,GPU_temp,69.0
2023-07-06 13:24:14.023799+02:00,PC,GPU_temp,69.0
